Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
1,1,H,90,232,Th,0,,,0.000016073,0.0000055423,0.000023204,0.0000080012,2025-04-14
1,2,H,90,232,Th,0,,,0.0000049121,0.0000016564,0.0000070914,0.0000023913,2025-04-14
1,3,H,90,232,Th,0,,,0.000070081,0.000022139,0.00010117,0.000031961,2025-04-14
2,3,He,90,232,Th,0,,,0,0,0,0,2025-04-14
2,4,He,90,232,Th,0,,,0.0010161,0.00031047,0.0014669,0.00044822,2025-04-14
25,64,Mn,90,232,Th,0,,,0.0000000000018098,0.00000000000055542,0.000000047863,0.000000014026,2025-04-14
25,65,Mn,90,232,Th,0,,,0.0000000000057458,0.0000000000020268,0.000000074367,0.000000025603,2025-04-14
25,66,Mn,90,232,Th,0,,,0.000000000008613,0.0000000000032964,0.000000056455,0.000000023115,2025-04-14
25,67,Mn,90,232,Th,0,,,0.000000000010263,0.0000000000040078,0.000000023802,0.000000010572,2025-04-14
25,68,Mn,90,232,Th,0,,,0.0000000000058685,0.000000000002282,0.0000000064944,0.0000000025259,2025-04-14
25,69,Mn,90,232,Th,0,,,0.0000000000023869,0.00000000000093084,0.0000000012767,0.00000000049816,2025-04-14
26,64,Fe,90,232,Th,0,,,0.0000000000031965,0.00000000000069819,0.000000071156,0.000000016365,2025-04-14
26,65,Fe,90,232,Th,0,,,0.000000000021602,0.0000000000043055,0.00000023424,0.000000046871,2025-04-14
26,66,Fe,90,232,Th,0,,,0.00000000011445,0.000000000025504,0.0000006231,0.00000016134,2025-04-14
26,67,Fe,90,232,Th,0,,,0.00000000031895,0.00000000010113,0.00000060861,0.00000022659,2025-04-14
26,68,Fe,90,232,Th,0,,,0.00000000071532,0.00000000025551,0.00000064579,0.000000226,2025-04-14
26,69,Fe,90,232,Th,0,,,0.00000000074552,0.00000000028566,0.00000032327,0.00000012325,2025-04-14
26,70,Fe,90,232,Th,0,,,0.0000000005862,0.00000000023318,0.0000001247,0.000000049422,2025-04-14
26,71,Fe,90,232,Th,0,,,0.00000000023427,0.000000000091704,0.000000024496,0.0000000096104,2025-04-14
26,72,Fe,90,232,Th,0,,,0.00000000006764,0.00000000002772,0.0000000034489,0.0000000013439,2025-04-14
27,64,Co,90,232,Th,0,,,0,0,0.0000000047834,0.0000000018331,2025-04-14
27,65,Co,90,232,Th,0,,,0.0000000000061643,0.0000000000021548,0.000000055958,0.000000019986,2025-04-14
27,66,Co,90,232,Th,0,,,0.000000000069381,0.000000000020916,0.00000031787,0.00000011068,2025-04-14
27,67,Co,90,232,Th,0,,,0.00000000064807,0.00000000013768,0.0000010399,0.00000032111,2025-04-14
27,68,Co,90,232,Th,0,,,0.000000001792,0.00000000038938,0.0000016474,0.00000035017,2025-04-14
27,68,Co,90,232,Th,-2,,,0.0000000013375,0.00000000029064,0.00000071346,0.00000015165,2025-04-14
27,69,Co,90,232,Th,0,,,0.000000011735,0.000000003084,0.0000042124,0.0000010494,2025-04-14
27,70,Co,90,232,Th,0,,,0.000000010988,0.0000000038641,0.0000019171,0.0000006557,2025-04-14
27,70,Co,90,232,Th,1,,,0.000000010988,0.0000000038641,0.0000019171,0.0000006557,2025-04-14
27,71,Co,90,232,Th,0,,,0.00000003497,0.000000013059,0.0000029759,0.0000011004,2025-04-14
27,72,Co,90,232,Th,0,,,0.00000002617,0.000000010637,0.0000010798,0.00000041567,2025-04-14
27,73,Co,90,232,Th,0,,,0.00000001221,0.0000000048123,0.00000037936,0.00000014958,2025-04-14
27,74,Co,90,232,Th,0,,,0.0000000026504,0.0000000010311,0.000000065963,0.000000025695,2025-04-14
27,75,Co,90,232,Th,0,,,0.00000000040511,0.00000000015869,0.0000000085958,0.0000000033761,2025-04-14
28,64,Ni,90,232,Th,0,,,0,0,0.000000000024624,0.0000000000096508,2025-04-14
28,65,Ni,90,232,Th,0,,,0,0,0.0000000007319,0.00000000028785,2025-04-14
28,66,Ni,90,232,Th,0,,,0.0000000000042681,0.0000000000016555,0.000000016123,0.000000006741,2025-04-14
28,67,Ni,90,232,Th,0,,,0.000000000091188,0.000000000033983,0.0000001218,0.000000052733,2025-04-14
28,68,Ni,90,232,Th,0,,,0.0000000015264,0.00000000048412,0.00000096633,0.00000031759,2025-04-14
28,69,Ni,90,232,Th,0,,,0.0000000060355,0.0000000015586,0.0000018241,0.00000049668,2025-04-14
28,69,Ni,90,232,Th,1,,,0.0000000060355,0.0000000015586,0.0000018241,0.00000049668,2025-04-14
28,70,Ni,90,232,Th,0,,,0.000000076116,0.000000014474,0.00001115,0.0000021702,2025-04-14
28,71,Ni,90,232,Th,0,,,0.00000026456,0.000000058176,0.000018755,0.0000039635,2025-04-14
28,72,Ni,90,232,Th,0,,,0.00000072553,0.00000022008,0.000024696,0.0000064332,2025-04-14
28,73,Ni,90,232,Th,0,,,0.00000082047,0.00000029199,0.000020837,0.0000072611,2025-04-14
28,74,Ni,90,232,Th,0,,,0.00000071899,0.00000027076,0.000014525,0.0000054257,2025-04-14
28,75,Ni,90,232,Th,0,,,0.00000028774,0.00000011212,0.0000049322,0.0000019234,2025-04-14
28,76,Ni,90,232,Th,0,,,0.0000000783,0.000000031094,0.0000012701,0.00000050945,2025-04-14
28,77,Ni,90,232,Th,0,,,0.0000000093101,0.0000000035036,0.00000017078,0.000000065246,2025-04-14
28,78,Ni,90,232,Th,0,,,0.0000000015237,0.00000000058692,0.000000022413,0.0000000092217,2025-04-14
29,65,Cu,90,232,Th,0,,,0,0,0,0,2025-04-14
29,66,Cu,90,232,Th,0,,,0,0,0.000000000024676,0.000000000010401,2025-04-14
29,67,Cu,90,232,Th,0,,,0,0,0.00000000077198,0.00000000034488,2025-04-14
29,68,Cu,90,232,Th,0,,,0.0000000000079412,0.0000000000030799,0.0000000027831,0.000000001081,2025-04-14
29,68,Cu,90,232,Th,3,,,0.000000000021646,0.0000000000083951,0.000000012568,0.0000000048817,2025-04-14
29,69,Cu,90,232,Th,0,,,0.00000000088368,0.00000000033748,0.00000022093,0.00000008486,2025-04-14
29,70,Cu,90,232,Th,0,,,0.0000000008472,0.0000000003158,0.000000068575,0.000000025828,2025-04-14
29,70,Cu,90,232,Th,1,,,0.00000001082,0.0000000040331,0.0000013937,0.00000052491,2025-04-14
29,70,Cu,90,232,Th,3,,,0.0000000008472,0.0000000003158,0.000000068575,0.000000025828,2025-04-14
29,71,Cu,90,232,Th,0,,,0.00000014874,0.000000045678,0.0000088663,0.0000028361,2025-04-14
29,72,Cu,90,232,Th,0,,,0.00000085732,0.00000023977,0.000024577,0.0000064197,2025-04-14
29,73,Cu,90,232,Th,0,,,0.0000032917,0.00000064951,0.000070069,0.000013868,2025-04-14
29,74,Cu,90,232,Th,0,,,0.0000064053,0.0000016463,0.0001074,0.000026322,2025-04-14
29,75,Cu,90,232,Th,0,,,0.0000095697,0.0000030222,0.00013462,0.000041056,2025-04-14
29,76,Cu,90,232,Th,0,,,0.0000032076,0.000001202,0.000042345,0.000015855,2025-04-14
29,76,Cu,90,232,Th,1,,,0.0000032076,0.000001202,0.000042345,0.000015855,2025-04-14
29,77,Cu,90,232,Th,0,,,0.0000031185,0.0000011522,0.000046291,0.000017296,2025-04-14
29,78,Cu,90,232,Th,0,,,0.0000013693,0.00000052617,0.000016453,0.0000067522,2025-04-14
29,79,Cu,90,232,Th,0,,,0.00000040132,0.00000015307,0.0000052231,0.0000022846,2025-04-14
29,80,Cu,90,232,Th,0,,,0.000000050012,0.000000018659,0.00000035209,0.00000015602,2025-04-14
30,66,Zn,90,232,Th,0,,,0,0,0,0,2025-04-14
30,67,Zn,90,232,Th,0,,,0,0,0,0,2025-04-14
30,68,Zn,90,232,Th,0,,,0,0,0.000000000016266,0.0000000000063326,2025-04-14
30,69,Zn,90,232,Th,0,,,0.00000000000051234,0.0000000000001998,0.000000000069115,0.000000000026968,2025-04-14
30,69,Zn,90,232,Th,1,,,0.0000000000025446,0.0000000000009923,0.00000000055019,0.00000000021468,2025-04-14
30,70,Zn,90,232,Th,0,,,0.00000000017619,0.000000000070232,0.000000017573,0.0000000069901,2025-04-14
30,71,Zn,90,232,Th,0,,,0.00000000085967,0.00000000033438,0.000000028048,0.000000010957,2025-04-14
30,71,Zn,90,232,Th,1,,,0.0000000042696,0.0000000016607,0.00000022328,0.000000087223,2025-04-14
30,72,Zn,90,232,Th,0,,,0.00000010964,0.000000043373,0.0000026082,0.0000009861,2025-04-14
30,73,Zn,90,232,Th,0,,,0.000000081479,0.000000028552,0.00000095254,0.00000034124,2025-04-14
30,73,Zn,90,232,Th,-2,,,0.0000001127,0.00000003949,0.0000013551,0.00000048546,2025-04-14
30,73,Zn,90,232,Th,1,,,0.00000073499,0.00000025755,0.000014258,0.000005108,2025-04-14
30,74,Zn,90,232,Th,0,,,0.0000061175,0.0000016173,0.000086536,0.000024128,2025-04-14
30,75,Zn,90,232,Th,0,,,0.000019226,0.000004102,0.00022834,0.000050983,2025-04-14
30,76,Zn,90,232,Th,0,,,0.000044272,0.0000085284,0.00048897,0.000093103,2025-04-14
30,77,Zn,90,232,Th,0,,,0.000042921,0.000010659,0.00054878,0.0001322,2025-04-14
30,77,Zn,90,232,Th,2,,,0.0000057147,0.0000014192,0.000045717,0.000011013,2025-04-14
30,78,Zn,90,232,Th,0,,,0.000082313,0.000026587,0.0008082,0.00027606,2025-04-14
30,79,Zn,90,232,Th,0,,,0.00006201,0.000022691,0.0006661,0.0002819,2025-04-14
30,80,Zn,90,232,Th,0,,,0.000033777,0.000012497,0.00020712,0.000091284,2025-04-14
30,81,Zn,90,232,Th,0,,,0.0000087269,0.000003115,0.000030953,0.000013784,2025-04-14
30,82,Zn,90,232,Th,0,,,0.0000015808,0.00000052361,0.0000030823,0.0000014132,2025-04-14
30,83,Zn,90,232,Th,0,,,0.0000001237,0.000000038643,0.00000013244,0.000000065157,2025-04-14
31,69,Ga,90,232,Th,0,,,0,0,0,0,2025-04-14
31,71,Ga,90,232,Th,0,,,0.0000000000083864,0.0000000000032838,0.00000000033196,0.0000000001303,2025-04-14
31,72,Ga,90,232,Th,0,,,0.00000000042583,0.0000000001745,0.0000000085064,0.0000000033143,2025-04-14
31,72,Ga,90,232,Th,-2,,,0.000000000041858,0.000000000017153,0.00000000052567,0.00000000020481,2025-04-14
31,73,Ga,90,232,Th,0,,,0.000000015922,0.0000000062726,0.00000023199,0.000000091541,2025-04-14
31,74,Ga,90,232,Th,0,,,0.00000012626,0.000000048576,0.0000014711,0.0000005683,2025-04-14
31,74,Ga,90,232,Th,2,,,0.00000012626,0.000000048576,0.0000014711,0.0000005683,2025-04-14
31,75,Ga,90,232,Th,0,,,0.0000028889,0.0000010701,0.000028548,0.000010718,2025-04-14
31,76,Ga,90,232,Th,0,,,0.000014455,0.0000049748,0.00013453,0.000047777,2025-04-14
31,77,Ga,90,232,Th,0,,,0.000053372,0.000012387,0.00055743,0.0001399,2025-04-14
31,78,Ga,90,232,Th,0,,,0.00019342,0.000040832,0.0016585,0.00039116,2025-04-14
31,79,Ga,90,232,Th,0,,,0.00051982,0.00011183,0.0049266,0.0010497,2025-04-14
31,80,Ga,90,232,Th,0,,,0.00068541,0.00020564,0.0036906,0.0011172,2025-04-14
31,81,Ga,90,232,Th,0,,,0.00072811,0.00023695,0.0022746,0.00089742,2025-04-14
31,82,Ga,90,232,Th,0,,,0.00035497,0.00011481,0.0006468,0.00029732,2025-04-14
31,83,Ga,90,232,Th,0,,,0.00012307,0.000038176,0.00013116,0.000065028,2025-04-14
31,84,Ga,90,232,Th,0,,,0.000023867,0.00000725,0.000014606,0.0000063045,2025-04-14
31,85,Ga,90,232,Th,0,,,0.0000014742,0.00000051587,0.00000099505,0.00000042025,2025-04-14
31,86,Ga,90,232,Th,0,,,0.000000073623,0.000000023467,0.000000032054,0.000000012268,2025-04-14
32,72,Ge,90,232,Th,0,,,0,0,0.0000000000019007,0.00000000000074062,2025-04-14
32,73,Ge,90,232,Th,0,,,0.0000000000093936,0.0000000000037074,0.00000000011772,0.000000000046509,2025-04-14
32,73,Ge,90,232,Th,2,,,0.0000000000018914,0.00000000000074647,0.000000000014788,0.0000000000058425,2025-04-14
32,74,Ge,90,232,Th,0,,,0.00000000075711,0.00000000029458,0.0000000071364,0.0000000027803,2025-04-14
32,75,Ge,90,232,Th,0,,,0.0000000026272,0.0000000010287,0.000000013812,0.0000000054234,2025-04-14
32,75,Ge,90,232,Th,2,,,0.000000019732,0.0000000077263,0.0000001658,0.000000065102,2025-04-14
32,76,Ge,90,232,Th,0,,,0.00000044305,0.00000017539,0.00000337,0.0000013493,2025-04-14
32,77,Ge,90,232,Th,0,,,0.0000034161,0.0000012563,0.000030651,0.000011506,2025-04-14
32,77,Ge,90,232,Th,1,,,0.00000045483,0.00000016727,0.0000025534,0.00000095848,2025-04-14
32,78,Ge,90,232,Th,0,,,0.000050818,0.000017676,0.00036453,0.00013822,2025-04-14
32,79,Ge,90,232,Th,0,,,0.000035275,0.000010461,0.00019007,0.000066206,2025-04-14
32,79,Ge,90,232,Th,1,,,0.00026493,0.000078569,0.0022816,0.00079472,2025-04-14
32,80,Ge,90,232,Th,0,,,0.0013961,0.00027504,0.0067486,0.0015996,2025-04-14
32,81,Ge,90,232,Th,0,,,0.0028381,0.0004914,0.0075485,0.0018674,2025-04-14
32,81,Ge,90,232,Th,1,,,0.00057145,0.000098941,0.00094823,0.00023458,2025-04-14
32,82,Ge,90,232,Th,0,,,0.006657,0.0011337,0.0066356,0.0025656,2025-04-14
32,83,Ge,90,232,Th,0,,,0.0059815,0.0012554,0.0031641,0.0021662,2025-04-14
32,84,Ge,90,232,Th,0,,,0.004827,0.0011321,0.0020713,0.0010943,2025-04-14
32,85,Ge,90,232,Th,0,,,0.00073444,0.00024495,0.00050101,0.00022193,2025-04-14
32,86,Ge,90,232,Th,0,,,0.0001598,0.000050583,0.000079744,0.00003073,2025-04-14
32,87,Ge,90,232,Th,0,,,0.000010674,0.000003676,0.0000054068,0.0000019368,2025-04-14
32,88,Ge,90,232,Th,0,,,0.00000060541,0.00000021362,0.0000002291,0.000000083805,2025-04-14
32,89,Ge,90,232,Th,0,,,0.000000016317,0.000000005563,0.0000000054361,0.0000000018842,2025-04-14
33,75,As,90,232,Th,0,,,0.0000000000015352,0.00000000000060136,0.0000000000066142,0.0000000000025978,2025-04-14
33,75,As,90,232,Th,4,,,0.0000000000058139,0.0000000000022773,0.000000000040868,0.000000000016051,2025-04-14
33,76,As,90,232,Th,0,,,0.00000000039179,0.00000000015569,0.0000000024043,0.00000000096534,2025-04-14
33,77,As,90,232,Th,0,,,0.000000014358,0.0000000054031,0.000000099771,0.000000038117,2025-04-14
33,78,As,90,232,Th,0,,,0.0000004877,0.0000001877,0.0000028796,0.0000011839,2025-04-14
33,79,As,90,232,Th,0,,,0.000011486,0.0000043516,0.000080266,0.000034725,2025-04-14
33,80,As,90,232,Th,0,,,0.00012828,0.000046535,0.00059278,0.00024548,2025-04-14
33,81,As,90,232,Th,0,,,0.0010714,0.00034582,0.0038068,0.0012386,2025-04-14
33,82,As,90,232,Th,0,,,0.0008914,0.0002389,0.0016134,0.00038214,2025-04-14
33,82,As,90,232,Th,1,,,0.0031059,0.0008324,0.0091285,0.0021621,2025-04-14
33,83,As,90,232,Th,0,,,0.011632,0.0019195,0.018201,0.0035196,2025-04-14
33,84,As,90,232,Th,0,,,0.010549,0.0018395,0.006346,0.0019986,2025-04-14
33,84,As,90,232,Th,-2,,,0.010549,0.0018395,0.006346,0.0019986,2025-04-14
33,85,As,90,232,Th,0,,,0.014405,0.0035834,0.0072569,0.0039025,2025-04-14
33,86,As,90,232,Th,0,,,0.0087091,0.0026471,0.004244,0.0019354,2025-04-14
33,87,As,90,232,Th,0,,,0.0026003,0.00090384,0.0015253,0.00058421,2025-04-14
33,88,As,90,232,Th,0,,,0.00042038,0.00014896,0.00020038,0.000074129,2025-04-14
33,89,As,90,232,Th,0,,,0.000052325,0.000017853,0.000023452,0.0000081399,2025-04-14
33,90,As,90,232,Th,0,,,0.000002874,0.000001078,0.0000010985,0.0000003878,2025-04-14
33,91,As,90,232,Th,0,,,0.0000001284,0.000000043671,0.000000038521,0.000000013744,2025-04-14
33,92,As,90,232,Th,0,,,0.0000000025586,0.00000000088538,0.00000000051134,0.00000000017993,2025-04-14
34,76,Se,90,232,Th,0,,,0,0,0,0,2025-04-14
34,77,Se,90,232,Th,0,,,0.00000000000023677,0.000000000000089111,0.00000000000086474,0.00000000000033038,2025-04-14
34,77,Se,90,232,Th,1,,,0.0000000000017783,0.00000000000066928,0.00000000001038,0.0000000000039658,2025-04-14
34,78,Se,90,232,Th,0,,,0.00000000030136,0.00000000011609,0.0000000014512,0.00000000059712,2025-04-14
34,79,Se,90,232,Th,0,,,0.000000017215,0.0000000065676,0.00000010476,0.000000045826,2025-04-14
34,79,Se,90,232,Th,1,,,0.0000000022921,0.00000000087445,0.0000000087274,0.0000000038176,2025-04-14
34,80,Se,90,232,Th,0,,,0.00000095881,0.00000035766,0.000003724,0.0000016491,2025-04-14
34,81,Se,90,232,Th,0,,,0.0000025808,0.0000009204,0.0000044886,0.0000019812,2025-04-14
34,81,Se,90,232,Th,1,,,0.000019383,0.0000069128,0.000053881,0.000023782,2025-04-14
34,82,Se,90,232,Th,0,,,0.00035176,0.00011511,0.00064176,0.00027202,2025-04-14
34,83,Se,90,232,Th,0,,,0.0021021,0.00061345,0.0030995,0.0011446,2025-04-14
34,83,Se,90,232,Th,1,,,0.00042324,0.00012352,0.00038935,0.00014379,2025-04-14
34,84,Se,90,232,Th,0,,,0.017139,0.0034742,0.01765,0.0036611,2025-04-14
34,85,Se,90,232,Th,0,,,0.025526,0.0037961,0.029807,0.0048068,2025-04-14
34,86,Se,90,232,Th,0,,,0.047444,0.0055848,0.031953,0.0053663,2025-04-14
34,87,Se,90,232,Th,0,,,0.027156,0.0058605,0.017186,0.0053088,2025-04-14
34,88,Se,90,232,Th,0,,,0.015977,0.005084,0.0084266,0.0033981,2025-04-14
34,89,Se,90,232,Th,0,,,0.0059854,0.0021056,0.0034566,0.0013006,2025-04-14
34,90,Se,90,232,Th,0,,,0.0014849,0.00056939,0.00078534,0.00028361,2025-04-14
34,91,Se,90,232,Th,0,,,0.00019059,0.000065006,0.000082007,0.000029354,2025-04-14
34,92,Se,90,232,Th,0,,,0.000017498,0.0000060572,0.0000053057,0.0000018674,2025-04-14
34,93,Se,90,232,Th,0,,,0.00000062902,0.00000023233,0.00000016368,0.000000060599,2025-04-14
34,94,Se,90,232,Th,0,,,0.000000021314,0.0000000075952,0.0000000049053,0.000000001727,2025-04-14
35,79,Br,90,232,Th,0,,,0.00000000000027395,0.00000000000010451,0.00000000000088518,0.00000000000038721,2025-04-14
35,79,Br,90,232,Th,1,,,0.0000000000010374,0.00000000000039579,0.0000000000054693,0.0000000000023925,2025-04-14
35,80,Br,90,232,Th,0,,,0.000000000041677,0.00000000001555,0.000000000095321,0.000000000042239,2025-04-14
35,80,Br,90,232,Th,2,,,0.00000000014521,0.000000000054179,0.00000000053931,0.00000000023898,2025-04-14
35,81,Br,90,232,Th,0,,,0.000000019507,0.0000000069694,0.000000047286,0.000000021055,2025-04-14
35,82,Br,90,232,Th,0,,,0.00000064132,0.00000021244,0.0000011792,0.00000054043,2025-04-14
35,82,Br,90,232,Th,1,,,0.00000023528,0.000000077938,0.00000026113,0.00000011968,2025-04-14
35,83,Br,90,232,Th,0,,,0.00002722,0.0000084959,0.000030507,0.00001494,2025-04-14
35,84,Br,90,232,Th,0,,,0.00023403,0.00007038,0.00017793,0.000074295,2025-04-14
35,84,Br,90,232,Th,1,,,0.00023403,0.00007038,0.00017793,0.000074295,2025-04-14
35,85,Br,90,232,Th,0,,,0.0026952,0.00087081,0.0028517,0.001022,2025-04-14
35,86,Br,90,232,Th,0,,,0.013456,0.0033822,0.01123,0.0030049,2025-04-14
35,87,Br,90,232,Th,0,,,0.034119,0.005748,0.032227,0.0052857,2025-04-14
35,88,Br,90,232,Th,0,,,0.041989,0.0058711,0.031395,0.0042846,2025-04-14
35,89,Br,90,232,Th,0,,,0.039711,0.0063848,0.028254,0.005609,2025-04-14
35,90,Br,90,232,Th,0,,,0.018656,0.0061676,0.013583,0.0048391,2025-04-14
35,91,Br,90,232,Th,0,,,0.01068,0.003732,0.0062891,0.0024368,2025-04-14
35,92,Br,90,232,Th,0,,,0.0029198,0.0010405,0.0013414,0.00048363,2025-04-14
35,93,Br,90,232,Th,0,,,0.00049111,0.00018288,0.00020485,0.000076286,2025-04-14
35,94,Br,90,232,Th,0,,,0.000046557,0.000016606,0.000017653,0.0000062181,2025-04-14
35,95,Br,90,232,Th,0,,,0.000003523,0.0000012799,0.00000087042,0.00000031743,2025-04-14
35,96,Br,90,232,Th,0,,,0.00000012263,0.000000048183,0.000000022615,0.0000000082102,2025-04-14
35,97,Br,90,232,Th,0,,,0.0000000035687,0.0000000012658,0.00000000042067,0.00000000015162,2025-04-14
36,80,Kr,90,232,Th,0,,,0,0,0,0,2025-04-14
36,82,Kr,90,232,Th,0,,,0.00000000012994,0.000000000043046,0.00000000020532,0.000000000094127,2025-04-14
36,83,Kr,90,232,Th,0,,,0.0000000096833,0.000000003025,0.000000011648,0.0000000057303,2025-04-14
36,83,Kr,90,232,Th,2,,,0.0000000019497,0.00000000060907,0.0000000014632,0.00000000071983,2025-04-14
36,84,Kr,90,232,Th,0,,,0.00000089668,0.00000027268,0.00000070485,0.00000030387,2025-04-14
36,85,Kr,90,232,Th,0,,,0.000011472,0.0000040123,0.000013127,0.0000055362,2025-04-14
36,85,Kr,90,232,Th,1,,,0.0000023099,0.00000080787,0.000001649,0.00000069545,2025-04-14
36,86,Kr,90,232,Th,0,,,0.00027455,0.000086846,0.00023578,0.000089007,2025-04-14
36,87,Kr,90,232,Th,0,,,0.0016807,0.00055116,0.0017326,0.0005782,2025-04-14
36,88,Kr,90,232,Th,0,,,0.0094008,0.0026267,0.0087178,0.0023346,2025-04-14
36,89,Kr,90,232,Th,0,,,0.027504,0.0055358,0.028152,0.0050758,2025-04-14
36,90,Kr,90,232,Th,0,,,0.052351,0.006526,0.045576,0.0063108,2025-04-14
36,91,Kr,90,232,Th,0,,,0.046257,0.0066255,0.035023,0.0049951,2025-04-14
36,92,Kr,90,232,Th,0,,,0.033174,0.0061443,0.020636,0.0048954,2025-04-14
36,93,Kr,90,232,Th,0,,,0.013352,0.0047229,0.0086488,0.0033242,2025-04-14
36,94,Kr,90,232,Th,0,,,0.0056742,0.0020872,0.0035783,0.0013195,2025-04-14
36,95,Kr,90,232,Th,0,,,0.0012599,0.00046522,0.00053119,0.00019563,2025-04-14
36,96,Kr,90,232,Th,0,,,0.00019397,0.000076522,0.000061913,0.000022508,2025-04-14
36,97,Kr,90,232,Th,0,,,0.000015501,0.0000055001,0.0000031994,0.0000011532,2025-04-14
36,98,Kr,90,232,Th,0,,,0.00000091951,0.00000035586,0.00000014995,0.000000055132,2025-04-14
36,99,Kr,90,232,Th,0,,,0.000000024207,0.0000000084476,0.0000000029988,0.0000000010589,2025-04-14
36,100,Kr,90,232,Th,0,,,0.00000000038062,0.00000000014525,0.000000000055506,0.000000000020815,2025-04-14
37,84,Rb,90,232,Th,0,,,0.000000000013791,0.0000000000041941,0.0000000000078972,0.000000000003405,2025-04-14
37,84,Rb,90,232,Th,2,,,0.000000000028932,0.0000000000087989,0.000000000027628,0.000000000011912,2025-04-14
37,85,Rb,90,232,Th,0,,,0.0000000030396,0.0000000010637,0.0000000036126,0.0000000015256,2025-04-14
37,86,Rb,90,232,Th,0,,,0.000000055609,0.000000017725,0.000000037947,0.000000014523,2025-04-14
37,86,Rb,90,232,Th,2,,,0.00000011666,0.000000037185,0.00000013275,0.000000050808,2025-04-14
37,87,Rb,90,232,Th,0,,,0.0000045782,0.0000015771,0.0000056057,0.0000020063,2025-04-14
37,88,Rb,90,232,Th,0,,,0.000062803,0.000022103,0.000069422,0.000025285,2025-04-14
37,89,Rb,90,232,Th,0,,,0.00072441,0.00024129,0.0009233,0.00030822,2025-04-14
37,90,Rb,90,232,Th,0,,,0.00031074,0.00010528,0.00024379,0.000076504,2025-04-14
37,90,Rb,90,232,Th,-2,,,0.0031613,0.001071,0.003945,0.001238,2025-04-14
37,91,Rb,90,232,Th,0,,,0.015133,0.0038088,0.017637,0.0039601,2025-04-14
37,92,Rb,90,232,Th,0,,,0.032717,0.0058471,0.029266,0.0048315,2025-04-14
37,93,Rb,90,232,Th,0,,,0.041887,0.0056063,0.037255,0.0045776,2025-04-14
37,94,Rb,90,232,Th,0,,,0.02816,0.004906,0.024829,0.0058027,2025-04-14
37,95,Rb,90,232,Th,0,,,0.018459,0.0049824,0.012749,0.0041589,2025-04-14
37,96,Rb,90,232,Th,0,,,0.0037549,0.0015116,0.0021231,0.00078475,2025-04-14
37,96,Rb,90,232,Th,-2,,,0.0037549,0.0015116,0.0021231,0.00078475,2025-04-14
37,97,Rb,90,232,Th,0,,,0.00264,0.00095147,0.00095937,0.00034874,2025-04-14
37,98,Rb,90,232,Th,0,,,0.00021617,0.00008421,0.000061925,0.000022812,2025-04-14
37,98,Rb,90,232,Th,5,,,0.00021617,0.00008421,0.000061925,0.000022812,2025-04-14
37,99,Rb,90,232,Th,0,,,0.000049499,0.000017286,0.000010879,0.0000038423,2025-04-14
37,100,Rb,90,232,Th,0,,,0.000002141,0.00000081706,0.00000056148,0.00000021056,2025-04-14
37,101,Rb,90,232,Th,0,,,0.00000005834,0.000000022492,0.0000000000031585,0.0000000000012538,2025-04-14
38,84,Sr,90,232,Th,0,,,0,0,0,0,2025-04-14
